Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales
O000001,2025-08-17,C00324,P0023,Online,4,6427,25708
O000002,2025-02-22,C00414,P0128,Marketplace,1,4533,4533
O000003,2025-10-09,C00001,P0010,Online,5,11638,58190
O000004,2025-11-23,C00312,P0155,Store,5,6467,32335
O000005,2026-05-02,C00350,P0168,Mobile App,4,6511,26044
O000006,2026-03-09,C00466,P0014,Mobile App,2,6081,12162
O000007,2025-11-04,C00485,P0144,Mobile App,5,7241,36205
O000008,2025-02-28,C00100,P0184,Store,4,11269,45076
O000009,2025-07-01,C00850,P0001,Mobile App,3,609,1827
O000010,2025-07-11,C00719,P0141,Online,5,1432,7160
O000011,2025-09-10,C00144,P0012,Marketplace,2,12709,25418
O000012,2025-11-09,C00201,P0028,Store,3,8951,26853
O000013,2025-04-21,C00469,P0031,Store,4,11416,45664
O000014,2025-02-25,C00776,P0184,Marketplace,3,11269,33807
O000015,2025-03-05,C00791,P0012,Marketplace,5,12709,63545
O000016,2026-05-05,C00517,P0118,Store,5,7691,38455
O000017,2025-09-29,C00754,P0128,Online,1,4533,4533
O000018,2026-03-06,C00600,P0142,Marketplace,4,9138,36552
O000019,2025-12-21,C00593,P0131,Store,2,11957,23914
O000020,2025-02-23,C00397,P0188,Mobile App,2,1730,3460
O000021,2025-08-03,C00624,P0130,Store,4,4662,18648
O000022,2026-05-09,C00352,P0071,Mobile App,4,11204,44816
O000023,2025-03-12,C00423,P0116,Mobile App,2,4110,8220
O000024,2026-03-17,C00322,P0180,Store,5,6853,34265
O000025,2025-11-16,C00732,P0052,Mobile App,2,2027,4054
O000026,2026-04-17,C00689,P0176,Store,3,9283,27849
O000027,2025-09-15,C00556,P0182,Mobile App,2,7243,14486
O000028,2026-01-25,C00361,P0182,Marketplace,1,7243,7243
O000029,2026-04-28,C00684,P0150,Marketplace,5,4078,20390
O000030,2025-05-27,C00899,P0173,Marketplace,5,11068,55340
O000031,2025-02-24,C00026,P0004,Marketplace,5,9874,49370
O000032,2025-12-10,C00058,P0038,Store,1,4240,4240
O000033,2025-05-27,C00700,P0069,Mobile App,2,3670,7340
O000034,2025-12-20,C00804,P0038,Mobile App,1,4240,4240
O000035,2025-01-17,C00368,P0053,Marketplace,5,2791,13955
O000036,2026-03-21,C00692,P0027,Store,5,10180,50900
O000037,2025-07-19,C00244,P0191,Mobile App,5,7984,39920
O000038,2026-04-20,C00391,P0178,Marketplace,1,11297,11297
O000039,2026-05-10,C00566,P0107,Online,3,8438,25314
O000040,2025-04-14,C00636,P0004,Marketplace,3,9874,29622
O000041,2026-01-22,C00603,P0058,Store,3,2704,8112
O000042,2025-05-31,C00460,P0199,Store,2,14099,28198
O000043,2025-04-06,C00986,P0175,Store,1,5544,5544
O000044,2025-03-03,C00387,P0189,Online,5,3880,19400
O000045,2025-10-12,C00271,P0110,Store,3,9949,29847
O000046,2026-03-10,C00262,P0042,Online,5,8548,42740
O000047,2025-12-30,C00960,P0085,Store,4,10996,43984
O000048,2026-04-21,C00331,P0011,Online,2,4752,9504
O000049,2026-03-08,C00678,P0199,Mobile App,5,14099,70495
O000050,2025-10-09,C00367,P0126,Online,5,11142,55710
O000051,2025-09-27,C00226,P0182,Store,3,7243,21729
O000052,2026-02-07,C00518,P0134,Store,1,14062,14062
O000053,2025-10-02,C00414,P0107,Online,5,8438,42190
O000054,2026-03-29,C00219,P0090,Mobile App,2,13316,26632
O000055,2025-05-31,C00224,P0085,Marketplace,3,10996,32988
O000056,2025-02-28,C00685,P0144,Mobile App,1,7241,7241
O000057,2026-04-09,C00658,P0115,Store,2,4472,8944
O000058,2025-07-15,C00938,P0011,Online,3,4752,14256
O000059,2025-10-04,C00742,P0099,Mobile App,3,3702,11106
O000060,2026-02-25,C00789,P0007,Mobile App,5,9395,46975
O000061,2025-08-17,C00499,P0132,Online,5,11463,57315
O000062,2025-06-14,C00527,P0076,Online,2,9841,19682
O000063,2026-05-13,C00980,P0025,Online,2,6265,12530
O000064,2025-04-18,C00687,P0161,Store,1,5953,5953
O000065,2026-03-04,C00107,P0176,Store,4,9283,37132
O000066,2025-11-28,C00837,P0138,Online,4,2847,11388
O000067,2025-01-13,C00471,P0192,Mobile App,2,7661,15322
O000068,2025-02-07,C00056,P0010,Store,1,11638,11638
O000069,2025-02-06,C00589,P0065,Store,5,13569,67845
O000070,2025-07-18,C00462,P0067,Marketplace,4,9207,36828
O000071,2025-01-09,C00399,P0111,Online,3,6815,20445
O000072,2025-11-25,C00738,P0137,Online,1,12834,12834
O000073,2025-01-24,C00718,P0194,Online,5,8299,41495
O000074,2025-02-24,C00297,P0092,Mobile App,5,2496,12480
O000075,2025-05-25,C00784,P0156,Marketplace,1,3844,3844
O000076,2026-02-25,C00677,P0098,Online,4,6858,27432
O000077,2025-10-01,C00226,P0122,Store,2,5918,11836
O000078,2026-02-12,C00817,P0192,Mobile App,4,7661,30644
O000079,2025-06-02,C00694,P0163,Mobile App,2,652,1304
O000080,2026-03-24,C00569,P0003,Store,5,12266,61330
O000081,2025-01-03,C00587,P0032,Marketplace,1,3952,3952
O000082,2026-04-30,C00088,P0138,Mobile App,5,2847,14235
O000083,2025-04-19,C00423,P0054,Store,3,12030,36090
O000084,2025-04-24,C00632,P0042,Mobile App,2,8548,17096
O000085,2025-04-03,C00688,P0050,Online,1,11369,11369
O000086,2025-08-25,C00661,P0193,Online,5,11969,59845
O000087,2025-05-09,C00101,P0075,Store,1,9838,9838
O000088,2025-09-07,C00975,P0186,Mobile App,5,10994,54970
O000089,2025-12-10,C00672,P0092,Store,2,2496,4992
O000090,2025-11-14,C00072,P0026,Store,3,11180,33540
O000091,2025-08-19,C00337,P0082,Mobile App,4,9034,36136
O000092,2025-03-20,C00580,P0178,Mobile App,5,11297,56485
O000093,2025-03-28,C00005,P0081,Mobile App,4,11160,44640
O000094,2025-12-31,C00758,P0064,Marketplace,2,1603,3206
O000095,2025-03-10,C00696,P0071,Mobile App,3,11204,33612
O000096,2025-08-17,C00368,P0123,Mobile App,4,6254,25016
O000097,2025-02-25,C00180,P0125,Online,5,10221,51105
O000098,2026-04-02,C00552,P0072,Store,2,7377,14754
O000099,2026-01-08,C00078,P0068,Online,1,8845,8845
O000100,2026-02-21,C00596,P0130,Marketplace,1,4662,4662
O000101,2025-04-19,C00929,P0197,Online,5,3785,18925
O000102,2025-10-06,C00916,P0142,Marketplace,3,9138,27414
O000103,2025-07-07,C00402,P0168,Store,2,6511,13022
O000104,2026-01-11,C00878,P0198,Mobile App,5,1022,5110
O000105,2025-09-14,C00523,P0035,Online,4,3683,14732
O000106,2025-09-15,C00011,P0102,Store,3,4873,14619
O000107,2026-01-23,C00527,P0158,Store,2,3852,7704
O000108,2025-04-02,C00580,P0115,Store,2,4472,8944
O000109,2026-04-26,C00368,P0189,Online,4,3880,15520
O000110,2025-04-29,C00065,P0057,Mobile App,4,13989,55956
O000111,2025-01-22,C00685,P0095,Store,2,13438,26876
O000112,2025-07-18,C00481,P0133,Marketplace,3,8480,25440
O000113,2025-11-29,C00332,P0012,Online,1,12709,12709
O000114,2025-11-21,C00850,P0181,Mobile App,5,5178,25890
O000115,2025-10-24,C00558,P0190,Store,3,600,1800
O000116,2025-07-07,C00602,P0097,Online,4,1728,6912
O000117,2025-07-12,C00997,P0133,Store,3,8480,25440
O000118,2025-06-30,C00837,P0133,Mobile App,4,8480,33920
O000119,2026-03-31,C00619,P0125,Online,4,10221,40884
O000120,2025-08-14,C00170,P0129,Store,2,12363,24726
O000121,2025-11-26,C00288,P0020,Store,5,950,4750
O000122,2025-03-22,C00371,P0039,Online,2,12439,24878
O000123,2025-08-01,C00831,P0170,Mobile App,2,227,454
O000124,2025-09-04,C00692,P0185,Marketplace,1,13204,13204
O000125,2025-10-30,C00166,P0123,Marketplace,2,6254,12508
O000126,2025-01-23,C00131,P0006,Store,2,4011,8022
O000127,2025-01-21,C00913,P0035,Store,5,3683,18415
O000128,2025-05-13,C00945,P0015,Store,2,13423,26846
O000129,2025-11-03,C00993,P0133,Online,4,8480,33920
O000130,2026-04-30,C00088,P0185,Store,3,13204,39612
O000131,2025-08-30,C00889,P0115,Marketplace,5,4472,22360
O000132,2026-03-02,C00421,P0044,Store,2,2704,5408
O000133,2025-11-16,C00676,P0150,Mobile App,2,4078,8156
O000134,2026-04-18,C00465,P0043,Online,3,12582,37746
O000135,2025-07-17,C00136,P0059,Online,4,9037,36148
O000136,2025-09-25,C00881,P0005,Marketplace,2,688,1376
O000137,2025-02-19,C00182,P0039,Marketplace,5,12439,62195
O000138,2025-01-20,C00899,P0158,Online,5,3852,19260
O000139,2025-12-04,C00134,P0024,Online,4,10615,42460
O000140,2025-09-25,C00431,P0199,Mobile App,4,14099,56396
O000141,2025-08-08,C00235,P0012,Marketplace,5,12709,63545
O000142,2025-06-29,C00604,P0197,Online,4,3785,15140
O000143,2025-05-11,C00489,P0109,Store,2,14148,28296
O000144,2025-11-03,C00898,P0022,Marketplace,3,14213,42639
O000145,2025-01-03,C00727,P0066,Online,2,2303,4606
O000146,2025-03-02,C00533,P0148,Online,5,5994,29970
O000147,2025-12-19,C00824,P0097,Mobile App,2,1728,3456
O000148,2025-02-24,C00159,P0105,Marketplace,3,12454,37362
O000149,2025-05-10,C00268,P0167,Marketplace,5,7349,36745
O000150,2025-11-10,C00283,P0145,Marketplace,3,5250,15750
O000151,2025-07-31,C00566,P0194,Marketplace,2,8299,16598
O000152,2025-10-14,C00569,P0046,Marketplace,3,9971,29913
O000153,2025-10-23,C00353,P0065,Marketplace,3,13569,40707
O000154,2026-03-14,C00885,P0189,Online,2,3880,7760
O000155,2025-08-17,C00802,P0192,Store,2,7661,15322
O000156,2025-09-18,C00411,P0026,Mobile App,2,11180,22360
O000157,2025-12-23,C00701,P0141,Online,5,1432,7160
O000158,2026-05-09,C00652,P0042,Online,4,8548,34192
O000159,2025-08-30,C00949,P0024,Marketplace,2,10615,21230
O000160,2025-05-15,C00228,P0023,Mobile App,1,6427,6427
O000161,2025-01-20,C00742,P0021,Marketplace,5,12865,64325
O000162,2025-12-02,C00534,P0103,Mobile App,5,2736,13680
O000163,2025-01-30,C00969,P0183,Store,5,7818,39090
O000164,2025-08-13,C00011,P0164,Store,4,3125,12500
O000165,2025-05-27,C00200,P0169,Online,5,4373,21865
O000166,2025-09-22,C00716,P0154,Store,5,4571,22855
O000167,2025-12-12,C00037,P0158,Mobile App,2,3852,7704
O000168,2026-05-15,C00162,P0062,Online,1,14596,14596
O000169,2025-06-30,C00686,P0071,Marketplace,4,11204,44816
O000170,2025-04-13,C00531,P0104,Online,5,3766,18830
O000171,2026-04-16,C00093,P0189,Mobile App,1,3880,3880
O000172,2026-04-14,C00597,P0186,Mobile App,5,10994,54970
O000173,2025-04-26,C00621,P0089,Store,3,1193,3579
O000174,2025-10-22,C00005,P0117,Mobile App,4,2344,9376
O000175,2025-09-17,C00110,P0045,Online,4,13177,52708
O000176,2025-06-24,C00970,P0129,Online,3,12363,37089
O000177,2026-03-25,C00551,P0132,Mobile App,3,11463,34389
O000178,2026-05-10,C00387,P0178,Marketplace,4,11297,45188
O000179,2026-01-23,C00348,P0198,Marketplace,2,1022,2044
O000180,2026-04-05,C00601,P0175,Online,4,5544,22176
O000181,2025-05-13,C00070,P0124,Marketplace,1,7379,7379
O000182,2025-12-13,C00719,P0163,Store,2,652,1304
O000183,2026-05-05,C00362,P0081,Online,4,11160,44640
O000184,2025-05-08,C00295,P0180,Online,3,6853,20559
O000185,2025-02-08,C00568,P0103,Store,3,2736,8208
O000186,2025-07-01,C00224,P0122,Mobile App,3,5918,17754
O000187,2025-09-13,C00755,P0047,Store,2,6452,12904
O000188,2026-03-23,C00272,P0061,Store,2,519,1038
O000189,2026-03-04,C00256,P0059,Mobile App,2,9037,18074
O000190,2025-03-03,C00943,P0040,Online,1,14909,14909
O000191,2025-11-11,C00007,P0174,Online,4,8508,34032
O000192,2025-11-14,C00323,P0124,Marketplace,3,7379,22137
O000193,2025-09-09,C00188,P0148,Mobile App,3,5994,17982
O000194,2026-01-20,C00591,P0102,Store,2,4873,9746
O000195,2026-02-14,C00434,P0014,Marketplace,5,6081,30405
O000196,2025-09-15,C00356,P0139,Marketplace,1,9238,9238
O000197,2025-08-23,C01000,P0176,Online,2,9283,18566
O000198,2025-08-24,C00324,P0179,Online,5,10284,51420
O000199,2025-07-14,C00595,P0004,Online,2,9874,19748
O000200,2025-11-10,C00883,P0084,Mobile App,3,3319,9957
O000201,2025-05-15,C00243,P0048,Mobile App,5,8869,44345
O000202,2025-06-25,C00375,P0121,Store,5,8488,42440
O000203,2025-04-18,C00430,P0128,Mobile App,4,4533,18132
O000204,2025-05-24,C00462,P0094,Store,4,14527,58108
O000205,2025-10-22,C00703,P0147,Store,2,11374,22748
O000206,2026-02-16,C00242,P0026,Marketplace,3,11180,33540
O000207,2025-03-16,C00820,P0098,Store,2,6858,13716
O000208,2025-04-01,C00432,P0122,Marketplace,1,5918,5918
O000209,2025-10-01,C00738,P0035,Mobile App,5,3683,18415
O000210,2025-05-09,C00576,P0125,Online,3,10221,30663
O000211,2025-12-20,C00168,P0102,Online,1,4873,4873
O000212,2025-09-01,C00860,P0056,Online,3,14462,43386
O000213,2025-05-14,C00370,P0116,Mobile App,3,4110,12330
O000214,2026-04-23,C00830,P0144,Mobile App,5,7241,36205
O000215,2025-07-30,C00125,P0089,Mobile App,1,1193,1193
O000216,2025-04-12,C00591,P0174,Store,5,8508,42540
O000217,2025-07-01,C00333,P0200,Marketplace,3,2384,7152
O000218,2026-04-01,C00081,P0199,Marketplace,4,14099,56396
O000219,2025-08-26,C00647,P0158,Store,3,3852,11556
O000220,2025-08-04,C00647,P0043,Marketplace,3,12582,37746
O000221,2025-03-24,C00352,P0019,Store,1,9659,9659
O000222,2025-12-01,C00299,P0081,Mobile App,3,11160,33480
O000223,2025-05-19,C00909,P0155,Marketplace,4,6467,25868
O000224,2026-01-18,C00602,P0200,Marketplace,3,2384,7152
O000225,2025-04-05,C00875,P0106,Online,2,1021,2042
O000226,2025-12-05,C00258,P0033,Online,2,6772,13544
O000227,2025-07-23,C00106,P0054,Online,2,12030,24060
O000228,2025-10-08,C00056,P0017,Online,4,1491,5964
O000229,2025-09-26,C00784,P0198,Online,4,1022,4088
O000230,2025-11-13,C00160,P0027,Online,3,10180,30540
O000231,2025-06-08,C00235,P0168,Store,4,6511,26044
O000232,2025-08-15,C00642,P0189,Store,3,3880,11640
O000233,2026-03-06,C00175,P0034,Online,5,3656,18280
O000234,2026-03-17,C00938,P0009,Mobile App,3,13461,40383
O000235,2026-05-15,C00892,P0122,Mobile App,4,5918,23672
O000236,2025-03-11,C00993,P0141,Store,4,1432,5728
O000237,2025-08-22,C00647,P0152,Marketplace,5,3138,15690
O000238,2025-06-08,C00931,P0135,Mobile App,5,10592,52960
O000239,2025-04-27,C00825,P0124,Online,5,7379,36895
O000240,2025-07-07,C00423,P0114,Mobile App,3,10970,32910
O000241,2025-01-06,C00001,P0040,Store,3,14909,44727
